,Game_ID,Home_Team,Away_Team,GAMES_LEFT,Team_ID,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Home,FGMiss,Tot_Prev_Points,Tot_Prev_Ast,Tot_OREB,Tot_TOV,Tot_FGMiss,Tot_FGMade,Tot_Opp_Prev_Points,Tot_Opp_OREB,Tot_Opp_FGMiss,Tot_Opp_TOV,Tot_Prev_Poss,Tot_Opp_Prev_Poss,ORTG,OREBRTG,TOVRTG,ASTRTG,DRTG,DTOVRTG,DREBRTG,Home_ORTG,Away_ORTG,Home_DRTG,Away_DRTG,Home_OREBRTG,Away_OREBRTG,Home_DREBRTG,Away_DREBRTG,Home_TOVRTG,Away_TOVRTG,Home_DTOVRTG,Away_DTOVRTG,Home_ASTRTG,Away_ASTRTG,Home_Win,Spread,Back_To_Back,Home_Team_B2B,Away_Team_B2B,Home_DASTRTG,Away_DASTRTG,Season
16834,0022100176,CLE,DET,140,3221225504,10.0,14.0,0.7969999999999999,480,68,161,0.843,23,71,0.641,17,22,1.513,18,65,83,45,24,11,42,24,176,1,93,2226,506,243,327,1083,824,2320,226,1031,316,2155,2168,205.77107329570308,44.85581547655595,30.229357161206114,122.19315181369277,214.1767419526333,29.307677796642142,42.766535789791604,107.600341588386,98.17073170731707,106.19694397283533,107.97979797979798,23.13296903460838,21.722846441947567,24.58471760797342,18.181818181818183,15.798462852263023,14.43089430894309,13.752122241086587,15.555555555555555,63.26963906581741,58.92351274787535,1,20,0,0,0,59.01639344262295,58.48101265822785,21
16835,0022100177,HOU,POR,139,3221225502,7.0,18.0,0.545,480,68,172,0.791,18,68,0.525,42,58,1.436,20,81,101,34,16,10,26,50,196,1,104,2463,516,238,364,1109,905,2534,218,1110,316,2342,2340,210.0638240721276,42.79677345612488,31.224744820498447,113.937567106987,216.55510263768804,27.037856215840755,39.367807691932924,100.5281690140845,109.53565505804312,107.84140969162996,108.71369294605809,20.423892100192678,22.372881355932204,21.731123388581953,17.636684303350968,17.95774647887324,13.266998341625207,14.008810572687224,13.029045643153529,56.447688564476884,57.48987854251012,0,-12,0,0,0,59.51327433628318,67.13995943204868,21
16836,0022100178,MEM,PHX,141,3221225519,14.0,9.0,1.2269999999999999,480,83,192,0.867,25,70,0.698,22,32,1.565,21,84,105,47,18,12,27,38,213,1,109,2317,552,230,285,1047,886,2348,208,1010,315,2145,2136,216.06054006968643,43.23010323010323,26.555313588850176,124.7187399549984,219.60793271617246,29.552293355519964,41.18177823808179,107.76785714285715,108.29268292682927,112.44404655326767,107.1638861629048,24.615384615384617,18.614718614718615,20.73643410852713,20.445344129554655,13.482142857142856,13.073170731707318,14.14503133393017,15.407262021589792,60.78431372549019,63.934426229508205,0,-25,0,0,0,66.10169491525424,56.683168316831676,21
16837,0022100179,NOP,BKN,138,3221225491,10.0,16.0,0.7689999999999999,480,84,170,0.989,31,66,0.935,33,43,1.5539999999999998,19,58,77,53,15,9,27,46,232,1,86,2485,572,235,352,1179,920,2584,239,1188,304,2398,2399,207.21968193413431,39.22261688849744,29.359840445328388,124.34042553191489,215.45802693949037,25.349879759240466,40.28811243857433,101.42977291841883,105.78990901571548,112.38493723849372,103.07308970099666,23.510971786833856,15.711645101663585,20.47531992687386,19.81279251170047,14.802354920100925,14.557485525227461,13.472803347280335,11.877076411960132,62.0,62.34042553191489,0,-8,0,0,0,61.61616161616161,52.97872340425533,21
16838,0022100180,OKC,SAC,140,3221225518,10.0,14.0,0.8400000000000001,480,80,194,0.8240000000000001,24,71,0.674,24,32,1.498,27,74,101,33,13,13,23,30,208,1,114,2322,478,212,319,1094,850,2405,253,1125,277,2215,2221,208.64732510288064,38.764848789478094,28.909465020576132,112.51133786848072,216.23307417648533,25.012483076222892,45.044890490078345,99.1,109.54732510288065,106.38085742771686,109.85221674876848,19.460500963391137,19.304347826086957,22.988505747126435,22.056384742951906,15.0,13.909465020576132,12.861415752741776,12.151067323481117,56.388888888888886,56.12244897959183,1,2,0,0,0,63.18407960199005,54.980079681274894,21
16839,0022100181,SAS,DAL,140,3221225501,12.0,12.0,1.0,480,87,184,0.948,31,75,0.833,27,39,1.384,13,76,89,60,12,10,18,35,232,1,97,2341,540,218,280,1090,898,2351,213,1057,323,2210,2213,211.80186823992136,40.00727233549708,25.35644051130777,119.53603232807004,212.5438854565068,29.1277663365042,40.27359977080648,107.07964601769913,104.72222222222223,104.76610767872904,107.77777777777777,19.34306569343066,20.66420664206642,21.042830540037244,19.230769230769234,12.300884955752213,13.055555555555557,15.88702559576346,13.240740740740742,64.59627329192547,54.93975903614457,0,-14,0,0,0,53.15904139433552,59.325842696629216,21
16840,0022100182,DEN,ATL,139,3221225480,12.0,13.0,0.9750000000000001,480,78,183,0.853,15,63,0.46499999999999997,30,41,1.464,24,75,99,46,8,10,15,41,201,1,105,2409,532,232,315,1113,924,2420,201,1084,309,2271,2265,211.95532811746588,41.46572119384359,27.859109362119117,115.28925619834712,213.09639597940918,27.44867929720973,37.08615603146853,104.08921933085502,107.86610878661087,100.93196644920783,112.16442953020133,19.3359375,22.129783693843592,18.5546875,18.53146853146853,15.055762081784389,12.803347280334728,15.284249767008387,12.164429530201343,59.09090909090909,56.19834710743802,1,9,0,0,0,58.57843137254902,62.22222222222222,21
16841,0022100183,GSW,CHI,140,3221225485,19.0,5.0,1.584,480,79,171,0.9199999999999999,23,73,0.622,31,38,1.6480000000000001,19,66,85,45,24,5,36,31,212,1,92,2481,581,212,297,1030,909,2251,204,1094,344,2226,2224,222.8755900297589,41.16218743401804,26.629330081524042,127.63547799814069,202.50910149992717,30.929566525896803,37.411189087343416,112.33480176211455,110.54078826764436,99.20634920634922,103.30275229357797,21.31782945736434,19.844357976653697,17.10758377425044,20.30360531309298,14.713656387665196,11.915673693858846,15.608465608465607,15.321100917431194,70.71583514099783,56.91964285714286,1,26,0,0,0,57.907542579075425,52.96912114014252,21
16842,0022100184,LAL,MIN,140,3221225497,11.0,13.0,0.902,480,72,176,0.8109999999999999,21,78,0.544,25,32,1.55,25,73,98,41,22,12,35,35,190,1,104,2393,530,253,362,1133,894,2449,286,1093,375,2292,2293,208.46269658884955,44.79841477875554,31.648019907692564,119.30370673766127,213.71366399940865,32.901982887661006,52.9622382563559,105.81304006284367,102.64965652600588,106.36792452830188,107.34573947110675,20.578231292517007,24.220183486238533,23.856209150326798,29.10602910602911,15.553809897879026,16.09421000981354,15.566037735849056,17.33594515181195,57.19844357976653,62.10526315789474,0,-24,0,0,0,62.398373983739845,57.289002557544755,21
16843,0022100185,UTA,MIA,138,3221225510,16.0,10.0,1.23,480,77,170,0.9059999999999999,30,86,0.7150000000000001,32,41,1.595,25,61,86,46,19,5,35,44,216,1,93,2654,530,263,339,1136,959,2482,224,1202,300,2369,2373,224.06976843641837,46.27976190476191,28.618145324536847,110.42204995693368,209.19017411256578,25.27246378870648,37.26179104890845,112.74426508071367,111.3255033557047,104.83870967741935,104.35146443514644,22.321428571428573,23.958333333333336,19.33884297520661,17.922948073701843,14.188615123194563,14.429530201342283,11.799660441426147,13.472803347280335,51.162790697674424,59.25925925925925,0,-6,0,0,0,51.38004246284501,57.94183445190156,21
